ID,Description,Must flag
VFG044212gbWP000093563,(srtB) class B sortase [NEAT-type hemophore-mediated heme uptake system (VF0672) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044215gbWP001991804,(isdE) heme ABC transporter substrate-binding protein IsdE [NEAT-type hemophore-mediated heme uptake system (VF0672) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044216gbWP001083208,(GBAA_RS23255) NEAT domain-containing protein [NEAT-type hemophore-mediated heme uptake system (VF0672) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044217gbWP000476161,(GBAA_RS23260) NEAT domain-containing protein [NEAT-type hemophore-mediated heme uptake system (VF0672) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044218gbWP000757951,(isdC) heme uptake protein IsdC [NEAT-type hemophore-mediated heme uptake system (VF0672) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG044222gbWP000753441,(GBAA_RS26000) siderophore ABC transporter substrate-binding protein [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG049919gbAAD32394,(bslA) s-layer protein [BslA (VF0411) - Regulation (VFC0301)] [Bacillus anthracis str. Sterne],FALSE
VFG049920gbWP000676768,(sph) sphingomyelin phosphodiesterase [Sphingomyelinase (SMase) (VF0663) - Exotoxin (VFC0235)] [Bacillus anthracis str. Ames],FALSE
VFG049928gbWP000734728,(papR) quorum-sensing peptide PapR [PlcR-PapR quorum sensing (VF0660) - Biofilm (VFC0271)] [Bacillus anthracis str. Ames],FALSE
VFG049937gbWP000152670,(pagR-XO2) metalloregulator ArsR/SmtB family transcription factor [PagR-XO2 (VF0665) - Regulation (VFC0301)] [Bacillus anthracis str. Ames Ancestor],FALSE
VFG040864gbWP001172770,(essC) type VII secretion system protein EssC [T7SS (VF0581) - Effector delivery system (VFC0086)] [Bacillus anthracis str. Sterne],FALSE
VFG040865gbWP000807831,(esxB) type VII secretion system protein EsxB [T7SS (VF0581) - Effector delivery system (VFC0086)] [Bacillus anthracis str. Sterne],FALSE
VFG040867gbWP001050360,(BAS_RS10600) type VII secretion system protein [T7SS (VF0581) - Effector delivery system (VFC0086)] [Bacillus anthracis str. Sterne],FALSE
VFG040868gbWP000404139,(esxL) type VII secretion system protein EsxL [T7SS (VF0581) - Effector delivery system (VFC0086)] [Bacillus anthracis str. Sterne],FALSE
VFG049962gbWP011053144,(asbB) petrobactin biosynthesis protein AsbB [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne],FALSE
VFG049968gbWP000909602,"(asbC) 3,4-dihydroxybenzoic acid-AMP ligase AsbC [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne]",FALSE
VFG049974gbWP001250565,(asbD) petrobactin biosynthesis protein AsbD [Petrobactin (VF0584) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne],FALSE
VFG050037gbWP001133943,"(dhbF) non-ribosomal peptide synthetase, DhbF [Bacillibactin (VF0586) - Nutritional/Metabolic factor (VFC0272)] [Bacillus anthracis str. Sterne]",FALSE
VFG050170gbAAD32397,(hasA) hyaluronan synthase [Hyaluronic acid (HA) capsule (VF0667) - Immune modulation (VFC0258)] [Bacillus anthracis str. Sterne],FALSE
VFG002213gbWP004686828,(virB6) type IV secretion system channel protein VirB6 [VirB type IV secretion system (VF0365) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG002214gbWP002966516,(virB7) type IV secretion system protein VirB7 [VirB type IV secretion system (VF0365) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG002215gbWP002966517,(virB8) type IV secretion system protein VirB8 [VirB type IV secretion system (VF0365) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG002219gbWP011005413,(cgs) cyclic beta 1-2 glucan synthetase [CG (VF0366) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG002221gbWP002963690,(manAoAg) mannose-6-phosphate isomerase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG002224gbWP002963682,(wbkA) mannosyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG002227gbWP004683211,(wzm) O-antigen export system permease protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011390gbWP002964532,(lpxC) UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis biovar Abortus 2308],FALSE
VFG011402gbWP004688426,(fabZ) (3R)-hydroxymyristoyl ACP dehydratase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella suis 1330],FALSE
VFG011404gbWP002964279,(lpxA) UDP-N-acetylglucosamine acyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011414gbWP002964262,(kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011427gbWP006133051,(kdsB) 3-deoxy-manno-octulosonate cytidylyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella suis 1330],FALSE
VFG011429gbWP002963985,(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011430gbWP002963616,(acpXL) acyl carrier protein [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011439gbWP004685554,(lpxE) phosphatidylglycerophosphatase B [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011444gbWP002966810,(wboA) glycosyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011533gbWP002966366,(lpxK) tetraacyldisaccharide 4'-kinase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG011543gbWP002970474,(virB1) type IV secretion system attachment mediating protein VirB1 Homolog [VirB type IV secretion system (VF0365) - Effector delivery system (VFC0086)] [Brucella melitensis biovar Abortus 2308],FALSE
VFG011617gbWP002966566,"(dhbA) 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [Brucebactin (VF0692) - Nutritional/Metabolic factor (VFC0272)] [Brucella melitensis biovar Abortus 2308]",FALSE
VFG011631gbWP004684547,(bvrS) stimulus-sensing domain-containing protein [BvrR-BvrS (VF0368) - Regulation (VFC0301)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG019226gbWP006072301,"(wbkC) GDP-mannose 4,6-dehydratase / GDP-4-amino-4,6-dideoxy-D-mannose formyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella suis ATCC 23445]",FALSE
VFG019278gbWP006073145,(entD) 4'-phosphopantetheinyl transferase [Brucebactin (VF0692) - Nutritional/Metabolic factor (VFC0272)] [Brucella suis ATCC 23445],FALSE
VFG019296gbWP004685580,(htrB) lipid A biosynthesis lauroyl acyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis ATCC 23457],FALSE
VFG019315gbWP004685625,(wbdA) mannosyltransferase [LPS (VF0367) - Immune modulation (VFC0258)] [Brucella melitensis ATCC 23457],FALSE
VFG019334gbWP004685886,(dhbC) isochorismate synthase MenF [Brucebactin (VF0692) - Nutritional/Metabolic factor (VFC0272)] [Brucella melitensis ATCC 23457],FALSE
VFG041369gbWP004681215,(virB12) type IV secretion system protein VirB12 [VirB type IV secretion system (VF0365) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG041431gbWP002964730,(BME_RS01950) PepSY domain-containing protein [T4SS secreted effectors (VF0695) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG041432gbWP004683775,(BME_RS04715) flagellar biosynthetic protein FliO [T4SS secreted effectors (VF0695) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG044306gbWP002966591,(BABS19_RS15905) TonB-dependent receptor [Direct heme uptake system (VF0693) - Nutritional/Metabolic factor (VFC0272)] [Brucella abortus S19],FALSE
VFG045340gbWP002964382,(ricA) Rab2 interacting conserved protein A [RicA (VF0414) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG045465gbWP004684737,(btpA) Tir domain containing protein BtpA [BtpA/Btp1/TcpB (VF0412) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M],FALSE
VFG045466gbWP002963876,(btpB) Tir domain containing protein BtpB [BtpB (VF0522) - Effector delivery system (VFC0086)] [Brucella suis 1330],FALSE
VFG002500gbWP004556525,(fliH) flagellar assembly protein H [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG002505gbWP162486660,(flgN) flagella synthesis protein FlgN [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG002550gbWP009938563,(wcbP) capsular polysaccharide biosynthesis dehydrogenase/reductase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002558gbWP004550035,(wcbI) capsular polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002561gbWP004550031,(wcbF) capsule polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002567gbWP009938575,(wcbB) capsular polysaccharide glycosyltransferase biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG024817gbWP080517898,(bimA) YadA family of bacterial autotransporter mediating actin tail formation [BimA (VF0427) - Motility (VFC0204)] [Burkholderia mallei NCTC 10229],FALSE
VFG002424gbWP011205626,(bimA) YadA family of bacterial autotransporter mediating actin tail formation [BimA (VF0427) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG024878gbWP004199082,(pilV) type IV pilus biogenesis protein PilV [Type IV pili (VF0431) - Adherence (VFC0001)] [Burkholderia mallei ATCC 23344],FALSE
VFG002431gbWP004187516,(pilR) type IV pilus biosynthesis protein PilR [Type IV pili (VF0431) - Adherence (VFC0001)] [Burkholderia pseudomallei K96243],TRUE
VFG002433gbWP004187526,(pilO) type IV pilus inner membrane platform protein PilO [Type IV pili (VF0431) - Adherence (VFC0001)] [Burkholderia pseudomallei K96243],FALSE
VFG002439gbWP004203128,(bprD) Type III secretion system secreted protein BprD [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG002444gbWP004188424,(bapC) invasion protein [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG002445gbWP004525324,(bapB) acyl carrier protein [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG025013gbWP004203133,(bapA) Type III secretion system secreted protein BapA [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia mallei NCTC 10229],FALSE
VFG025031gbWP004536965,(bprA) HNS-like regulatory protein [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 1106a],FALSE
VFG002449gbWP004203135,(bipC) Type III secretion system translocator protein BipC [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG025047gbWP004537550,(bipB) Type III secretion system translocator protein BipB [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 1106a],FALSE
VFG025068gbWP004528819,(bsaY) Type III secretion system protein BsaY [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG025093gbWP004203138,(bsaV) Type III secretion system protein BsaV [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia mallei NCTC 10229],FALSE
VFG025100gbWP004199777,(bsaU) Type III secretion system protein BsaU [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG002458gbWP004525314,(bsaT) Type III secretion system protein BsaT [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG002467gbWP004525308,(bsaK) Type III secretion system protein BsaK [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG025187gbWP004551893,(basJ) Type III secretion system protein BsaJ [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG025200gbWP004557785,(orgA) Type III secretion system protein [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 668],FALSE
VFG025203gbWP004188436,(orgB) Type III secretion system protein [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG002471gbWP004533443,(bprP) regulatory protein [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG025224gbWP011853466,(bprQ) T3SS regulator BprQ [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 668],FALSE
VFG025229gbWP162474617,(bopC) Type III secretion system effector BopC [Bsa T3SS (VF0428) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 1106a],FALSE
VFG002474gbWP004530571,(tssB-5) Type VI secretion system protein TssB [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG025259gbWP004184744,(tssE-5) Type VI secretion system protein TssE [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG025291gbWP004528794,(tssH-5/clpV) Clp-type ATPase chaperone protein [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 1710b],FALSE
VFG025299gbWP004533112,(vgrG-5) Type VI secretion system protein VgrG5 [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 1106a],FALSE
VFG025304gbWP004206518,(tagAB-5) Type VI secretion system associated protein TagAB-5 [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei NCTC 10229],FALSE
VFG025312gbWP004206517,(tagB-5) Type VI secretion system associated protein TagB-5 [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei NCTC 10229],FALSE
VFG025325gbWP004530576,(tagC-5) Type VI secretion system associated protein TagC-5 [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei 1710b],FALSE
VFG002485gbWP004200966,(tagD-5) Type VI secretion system PAAR tip protein [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG025337gbWP004200965,(tssJ-5) Type VI secretion system protein TssJ [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG025366gbWP182913211,(tssM-5) Type VI secretion system protein TssM [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei SAVP1],FALSE
VFG025382gbWP009935822,(fliL) flagellar basal body protein FliL [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei 668],FALSE
VFG002491gbWP004524547,(fliM) flagellar motor switch protein FliM [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG025415gbWP004196781,(fliO) flagellar protein FliO [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia mallei ATCC 23344],FALSE
VFG025429gbWP004196779,(fliP) flagellar biosynthesis protein FliP [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia mallei SAVP1],FALSE
VFG025452gbWP004201278,(fliR) flagellar biosynthetic protein FliR [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia mallei ATCC 23344],FALSE
VFG025469gbWP038723986,(fliK) flagellar hook-length control protein FliK [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei 1710b],FALSE
VFG002498gbWP004197162,(fliJ) flagellar protein FliJ [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG025495gbWP004525876,(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei 1710b],FALSE
VFG002506gbWP004200257,(flgM) negative regulator of flagellin synthesis [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG025594gbWP004197247,(flgA) flagellar basal body P-ring biosynthesis protein FlgA [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia mallei ATCC 23344],FALSE
VFG025600gbWP011850938,(flgA) flagellar basal body P-ring biosynthesis protein FlgA [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei 668],FALSE
VFG025637gbWP004535718,(flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei 1106a],FALSE
VFG025741gbWP004535864,(flgL) flagellar hook-associated protein 3 FlgL [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei 1106a],FALSE
VFG002520gbWP004198637,(flhG) flagellar biosynthesis protein FlhG [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG025776gbWP004198638,(flhF) flagellar biosynthesis regulator FlhF [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia mallei ATCC 23344],FALSE
VFG002527gbWP004524404,(cheD) chemoreceptor glutamine deamidase CheD [Flagella (VF0430) - Motility (VFC0204)] [Burkholderia pseudomallei K96243],FALSE
VFG002538gbWP004184923,(pmlR/bspR1) N-acylhomoserine lactone dependent regulatory protein [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],FALSE
VFG002541gbWP004528852,(bspI3) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],FALSE
VFG002542gbWP004188690,(bspR3) N-acylhomoserine lactone-dependent regulatory protein [Quorum-sensing (VF0433) - Biofilm (VFC0271)] [Burkholderia pseudomallei K96243],FALSE
VFG002545gbWP004194345,(BPSL2786) acetyltransferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG026091gbWP004194140,(wcbR) capsular polysaccharide biosynthesis fatty acid synthase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia mallei ATCC 23344],FALSE
VFG026108gbWP004535400,(wcbQ) capsular polysaccharide biosynthesis transmembrane protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei 1106a],FALSE
VFG002551gbWP004522170,(wcbO) capsule polysaccharide biosynthesis/export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002552gbWP004194255,"(wcbN) D-glycero-d-manno-heptose 1,7-bisphosphate phosphatase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243]",FALSE
VFG002553gbWP004194086,(wcbM) D-glycero-d-manno-heptose 1-phosphate guanosyltransferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002555gbWP004194045,(wcbL) sugar kinase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG026192gbWP004527665,(wcbH) glycosyl transferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei 1106a],FALSE
VFG026196gbWP004196467,(wcbG) capsular polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia mallei ATCC 23344],FALSE
VFG026203gbWP004192709,(wcbF) capsule polysaccharide biosynthesis protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia mallei ATCC 23344],FALSE
VFG002562gbWP004522161,(wcbE) glycosyltransferase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002563gbWP004194035,(wzt2) ATP-binding ABC transporter capsular polysaccharide export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG026227gbWP004538663,(wzt2) ATP-binding ABC transporter capsular polysaccharide export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei 1106a],FALSE
VFG002564gbWP004194135,(wzm) capsular polysaccharide export ABC transporter transmembrane protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002565gbWP004196469,(wcbD) capsule polysaccharide export ABC transporter transmembrane protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG002568gbWP011205226,(wcbA) capsule polysaccharide export protein [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia pseudomallei K96243],FALSE
VFG040922gbWP004196816,(BPS_RS00050) general secretion pathway protein GspC [Gsp (VF0705) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG040924gbWP004535320,(BPS_RS00060) GspH/FimT family pseudopilin [Gsp (VF0705) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG040928gbWP004533517,(gspL) type II secretion system protein GspL [Gsp (VF0705) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG040930gbWP004525775,(BPS_RS00090) type II secretion system protein N [Gsp (VF0705) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041115gbWP004528803,(BMA_RS19520) GTP cyclohydrolase I [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG041116gbWP004551882,(BMA_RS19525) type VI secretion system protein TssN [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG041117gbWP162473488,(BMA_RS19535) Ig-like domain-containing protein [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia mallei ATCC 23344],FALSE
VFG041118gbWP045606108,(tssA-5) Type VI secretion system protein TssA [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041120gbWP011205628,(BPS_RS26880) sensor histidine kinase VirA [T6SS-1 (VF0429) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041745gbWP009940890,(sctT) type III secretion system export apparatus subunit SctT [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041747gbWP004551933,(BPS_RS27605) type III secretion protein HrpB7 [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041749gbWP004188509,(BPS_RS27580) type III secretion protein HrpB2 [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041751gbWP011205653,(BPS_RS27590) type III secretion protein HrpB4 [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041754gbWP004525254,(sctV) type III secretion system export apparatus subunit SctV [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041755gbWP004528900,(sctP) type III secretion system protein SctP [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041759gbWP004528898,(BPS_RS27540) type III secretion protein [TTS2 (VF0703) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041762gbWP004524349,(BPS_RS26435) hypothetical protein [TTS1 (VF0702) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041763gbWP009940703,(sctQ) type III secretion system cytoplasmic ring protein SctQ [TTS1 (VF0702) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
VFG041766gbWP025998973,(BPS_RS32165) hypothetical protein [TTS1 (VF0702) - Effector delivery system (VFC0086)] [Burkholderia pseudomallei K96243],FALSE
